-Yulia-,11661.9,98.0379,153638,544
NerO,11659.5,98.6771,147608,546
oni,11658.5,98.7201,68766,547
Fudy,11652.1,97.4164,80501,548
kanocchi,11651.9,98.6435,44008,549
Mismagius,11648.5,98.6433,180014,551
1Max,11642.9,99.5318,78173,552
Girl,11642.3,98.3218,92571,552
Hagawobla,11634.6,99.1124,143424,554
Stravez0r,11633.2,99.109,55690,555
Azer,11632.9,99.1543,110289,555
MACKGEE,11632.4,98.3254,122916,556
Zralf,11627.3,98.8427,141521,557
Koltay,11623.4,99.075,90062,559
Sanjilift,11620.8,98.4513,217410,559
Rexeez,11614.8,98.6018,104157,561
Vespirit,11613.1,99.1683,198675,562
xaxreid,11612.2,99.1096,116901,562
Zyph,11608.3,98.742,90561,563
Danidesu,11607.9,97.7074,96407,563
MrPotato,11603.8,99.413,181892,566
seabee,11602.7,99.1624,82692,567
Aknama,11602.4,97.953,216103,566
scylla,11601.8,99.1855,83446,569
TheKid217,11597.6,99.5958,144746,569
FlashoFoSho,11592.4,98.999,197254,571
CosmoXR,11585,97.0889,78528,572
Mattay,11581.9,97.1279,107628,574
AdonisXVIII,11581.4,99.2267,70650,575
mniminwoo,11579.5,99.2097,167804,576
Kayrem,11576.7,98.4897,71261,577
Hamza,11574.4,98.2742,142012,578
Tofunim,11573.7,97.57,156351,579
Mighty Paws,11570,98.5755,136045,580
KarliXon,11566.1,99.1624,107980,581
jackylam5,11561.7,98.3919,153785,582
Sieu Phan Dong,11560.6,98.5069,178837,583
Melvr,11557.5,98.9536,157507,584
[Bau],11556.7,99.1018,106927,585
AlmightyDoor,11556.2,99.0331,100544,586
Diallo,11554.7,98.5353,130238,587
Jhermyy,11554.2,97.0183,107515,588
EmertxE,11551.8,97.8548,225660,589
willy0214,11548,98.5346,180366,590
Lappen777,11547.5,98.9543,42457,591
Nevik,11546.4,98.4184,175982,592
SunFesta,11545.2,97.2734,97318,593
